district,Price,size, sold,target
全市,65280.38,777.36,4,144平方米以上
宝安,65280.38,777.36,4,144平方米以上
福田,85019.86,122.46,1,90~144平方米
宝安,58682.5,1218.24,11,90~144平方米
光明,40805.81,862.07,8,90~144平方米
龙岗,38163.1,1338.99,12,90~144平方米
龙华,56072.51,1555.05,15,90~144平方米
南山,91769.72,667.5,6,90~144平方米
坪山,34253.53,92.64,1,90~144平方米
深汕,11786.96,383.45,3,90~144平方米
全市,51971.53,6240.4,57,90~144平方米
龙华,54222.76,567.6,7,90平方米以下
宝安,78061.38,1162.05,14,90平方米以下
光明,35409.71,532.09,7,90平方米以下
龙岗,31895.59,1019.5,15,90平方米以下
全市,49651.47,4050.35,52,90平方米以下
南山,78511.5,82.99,1,90平方米以下
坪山,31789.44,508.89,6,90平方米以下
深汕,12226.32,88.14,1,90平方米以下
盐田,50380.77,89.09,1,90平方米以下
全市,25020.36,18616.48,25,144平方米以上
龙华,17913.51,9809.16,7,144平方米以上
福田,31589.17,8474.3,16,144平方米以上
宝安,67198.48,333.02,2,144平方米以上
福田,85600.89,436.38,4,90~144平方米
宝安,55338.68,1292.73,13,90~144平方米
光明,37015.62,500,5,90~144平方米
龙岗,38121.83,1589.79,15,90~144平方米
龙华,54948.49,1279.56,12,90~144平方米
罗湖,54519.47,255.38,2,90~144平方米
南山,95693.51,366.08,3,90~144平方米
坪山,33997.38,92.77,1,90~144平方米
深汕,11157.56,225.19,2,90~144平方米
全市,51828.96,6037.88,57,90~144平方米
全市,43413.54,6247.07,89,90平方米以下
宝安,59801.32,1455.67,17,90平方米以下
福田,42631.01,1044.96,21,90平方米以下
光明,37977.87,767.36,10,90平方米以下
龙岗,29746.46,1241.23,16,90平方米以下
龙华,46671.81,1148.32,18,90平方米以下
坪山,31253.62,499.84,6,90平方米以下
盐田,48253.36,89.69,1,90平方米以下
全市,94607.47,3179.93,16,144平方米以上
罗湖,79470.66,158.79,1,144平方米以上
宝安,95403.06,3021.14,15,144平方米以上
福田,79745.12,193.96,2,90~144平方米
宝安,66549.43,1034.47,9,90~144平方米
