所属区,成交均价,面积区间,序号,日期,成交套数,成交面积
全市,65280.38,144平方米以上,270016,2024/4/26,4,777.36
宝安,65280.38,144平方米以上,270015,2024/4/26,4,777.36
福田,85019.86,90~144平方米,270014,2024/4/26,1,122.46
宝安,58682.5,90~144平方米,270013,2024/4/26,11,1218.24
光明,40805.81,90~144平方米,270012,2024/4/26,8,862.07
龙岗,38163.1,90~144平方米,270011,2024/4/26,12,1338.99
龙华,56072.51,90~144平方米,270010,2024/4/26,15,1555.05
南山,91769.72,90~144平方米,270009,2024/4/26,6,667.5
坪山,34253.53,90~144平方米,270008,2024/4/26,1,92.64
深汕,11786.96,90~144平方米,270007,2024/4/26,3,383.45
全市,51971.53,90~144平方米,270006,2024/4/26,57,6240.4
龙华,54222.76,90平方米以下,270005,2024/4/26,7,567.6
宝安,78061.38,90平方米以下,270004,2024/4/26,14,1162.05
光明,35409.71,90平方米以下,270003,2024/4/26,7,532.09
龙岗,31895.59,90平方米以下,270002,2024/4/26,15,1019.5
全市,49651.47,90平方米以下,270001,2024/4/26,52,4050.35
南山,78511.5,90平方米以下,270000,2024/4/26,1,82.99
坪山,31789.44,90平方米以下,269999,2024/4/26,6,508.89
深汕,12226.32,90平方米以下,269998,2024/4/26,1,88.14
盐田,50380.77,90平方米以下,269997,2024/4/26,1,89.09
全市,25020.36,144平方米以上,269938,2024/4/25,25,18616.48
龙华,17913.51,144平方米以上,269937,2024/4/25,7,9809.16
福田,31589.17,144平方米以上,269936,2024/4/25,16,8474.3
宝安,67198.48,144平方米以上,269935,2024/4/25,2,333.02
福田,85600.89,90~144平方米,269934,2024/4/25,4,436.38
宝安,55338.68,90~144平方米,269933,2024/4/25,13,1292.73
光明,37015.62,90~144平方米,269932,2024/4/25,5,500
龙岗,38121.83,90~144平方米,269931,2024/4/25,15,1589.79
龙华,54948.49,90~144平方米,269930,2024/4/25,12,1279.56
罗湖,54519.47,90~144平方米,269929,2024/4/25,2,255.38
南山,95693.51,90~144平方米,269928,2024/4/25,3,366.08
坪山,33997.38,90~144平方米,269927,2024/4/25,1,92.77
深汕,11157.56,90~144平方米,269926,2024/4/25,2,225.19
全市,51828.96,90~144平方米,269925,2024/4/25,57,6037.88
全市,43413.54,90平方米以下,269924,2024/4/25,89,6247.07
宝安,59801.32,90平方米以下,269923,2024/4/25,17,1455.67
福田,42631.01,90平方米以下,269922,2024/4/25,21,1044.96
光明,37977.87,90平方米以下,269921,2024/4/25,10,767.36
龙岗,29746.46,90平方米以下,269920,2024/4/25,16,1241.23
龙华,46671.81,90平方米以下,269919,2024/4/25,18,1148.32
坪山,31253.62,90平方米以下,269918,2024/4/25,6,499.84
盐田,48253.36,90平方米以下,269917,2024/4/25,1,89.69
全市,94607.47,144平方米以上,269857,2024/4/24,16,3179.93
罗湖,79470.66,144平方米以上,269856,2024/4/24,1,158.79
宝安,95403.06,144平方米以上,269855,2024/4/24,15,3021.14
福田,79745.12,90~144平方米,269854,2024/4/24,2,193.96
