所属区,成交均价,用途,序号,可售面积,日期,可售套数,成交套数,成交面积
盐田,0,商业,271417,3794.18,2024-05-13,62,0,0
全市,35264.23,商业,271418,1470652.42,2024-05-13,20616,17,1043.39
宝安,52628.36,住宅,271419,775259.21,2024-05-13,7842,43,3970.9
大鹏,0,住宅,271420,79923.18,2024-05-13,686,0,0
福田,84047.06,住宅,271421,180840.99,2024-05-13,1312,1,121.84
光明,40985.56,住宅,271422,812552.59,2024-05-13,8451,7,622.04
龙岗,36830.93,住宅,271423,1232798.4,2024-05-13,13030,22,2135.52
龙华,55415.43,住宅,271424,892388.98,2024-05-13,8955,12,1213.51
罗湖,56444.54,住宅,271425,64030.74,2024-05-13,559,3,254.98
南山,0,住宅,271426,262960.23,2024-05-13,2078,0,0
坪山,28809.06,住宅,271427,560630.98,2024-05-13,6281,1,85.94
深汕,11465.45,住宅,271428,412386.8,2024-05-13,3328,2,224.68
盐田,0,住宅,271429,49942.42,2024-05-13,474,0,0
全市,47519.05,住宅,271430,5323714.52,2024-05-13,52996,91,8629.41
宝安,0,办公楼,271431,207775.79,2024-05-13,1483,0,0
福田,0,办公楼,271432,59283.7,2024-05-13,470,0,0
光明,0,办公楼,271433,40548.33,2024-05-13,541,0,0
龙岗,0,办公楼,271434,114787.79,2024-05-13,1522,0,0
龙华,0,办公楼,271435,46979.34,2024-05-13,200,0,0
罗湖,0,办公楼,271436,221451.83,2024-05-13,2156,0,0
南山,0,办公楼,271437,370426.37,2024-05-13,1992,0,0
坪山,0,办公楼,271438,20423.04,2024-05-13,165,0,0
深汕,0,办公楼,271439,54013.67,2024-05-13,400,0,0
盐田,0,办公楼,271440,6435.47,2024-05-13,65,0,0
福田,0,其他,271441,87908.48,2024-05-13,556,0,0
宝安,0,其他,271397,212521.23,2024-05-13,2183,0,0
全市,0,办公楼,271398,1142125.33,2024-05-13,8994,0,0
光明,0,其他,271399,53354.03,2024-05-13,335,0,0
龙岗,0,其他,271400,92369.62,2024-05-13,408,0,0
龙华,0,其他,271401,323858.48,2024-05-13,1457,0,0
罗湖,0,其他,271402,142575.38,2024-05-13,237,0,0
南山,0,其他,271403,177587.16,2024-05-13,1530,0,0
深汕,0,其他,271404,11177.5,2024-05-13,238,0,0
盐田,0,其他,271405,12929.95,2024-05-13,51,0,0
全市,0,其他,271406,1114281.83,2024-05-13,6995,0,0
宝安,31562.46,商业,271407,356217.56,2024-05-13,4999,1,101.34
大鹏,0,商业,271408,30774.51,2024-05-13,509,0,0
福田,0,商业,271409,113909.64,2024-05-13,1280,0,0
光明,25417.69,商业,271410,116967.81,2024-05-13,1906,3,145.65
龙岗,22498.5,商业,271411,185386.22,2024-05-13,2682,9,421.48
龙华,0,商业,271412,85629,2024-05-13,1874,0,0
罗湖,0,商业,271413,104474.76,2024-05-13,1007,0,0
南山,72712.18,商业,271414,318440.67,2024-05-13,4035,2,244.57
坪山,20159.8,商业,271415,54448.54,2024-05-13,771,2,130.35
深汕,0,商业,271416,100609.53,2024-05-13,1491,0,0
福田,0,商业,271329,113909.64,2024-05-12,1280,0,0
光明,0,商业,271330,117092.16,2024-05-12,1909,0,0
龙岗,30465.47,商业,271331,185679.99,2024-05-12,2688,1,28.24
龙华,26507.21,商业,271332,85629,2024-05-12,1874,2,54.92
罗湖,0,商业,271333,104474.76,2024-05-12,1007,0,0
南山,0,商业,271334,318600.08,2024-05-12,4037,0,0
坪山,0,商业,271335,54448.54,2024-05-12,771,0,0
